Brand,Model,Fuel type,Transmission,First Registration Year,Milleage (kms),Engine Power (PS),Price (EUR)
Volkswagen,Tiguan,Benzin,Automatik,03/2009,126300,200.0,11480.0
Jeep,Compass,Diesel,Schaltgetriebe,10/2013,74087,163.0,11490.0
Renault,Captur,Diesel,Schaltgetriebe,11/2015,52610,110.0,11490.0
Mercedes-Benz,GLK 280,Benzin,Automatik,08/2008,139987,231.0,11490.0
Peugeot,2008,Benzin,Schaltgetriebe,04/2017,33900,82.0,11490.0
Peugeot,2008,Benzin,Schaltgetriebe,06/2016,40657,110.0,11490.0
Peugeot,2008,Benzin,Schaltgetriebe,11/2017,19587,82.0,11490.0
Nissan,Qashqai,Benzin,Schaltgetriebe,06/2014,99330,116.0,11490.0
Volkswagen,Tiguan,Benzin,Schaltgetriebe,06/2013,63245,160.0,11498.0
Renault,Captur,Diesel,Schaltgetriebe,06/2016,38000,110.0,11570.0
Dacia,Sandero,Autogas (LPG),Schaltgetriebe,-/- (Erstzulassung),100,101.0,11571.0
Dacia,Duster,Benzin,Schaltgetriebe,07/2017,63509,125.0,11590.0
Hyundai,iX35,Benzin,Schaltgetriebe,04/2015,58000,135.0,11670.0
Nissan,Qashqai,Benzin,Automatik,07/2013,82500,141.0,11690.0
Skoda,Yeti,Benzin,Schaltgetriebe,07/2015,63950,105.0,11706.0
Renault,Captur,Diesel,Automatik,03/2016,64920,90.0,11745.0
Volkswagen,Tiguan,Diesel,Automatik,04/2013,95100,140.0,11750.0
SsangYong,REXTON,Diesel,Schaltgetriebe,02/2015,140000,155.0,11800.0
SsangYong,Korando,Diesel,Automatik,05/2015,71998,175.0,11800.0
Hyundai,iX35,Diesel,Automatik,09/2013,140185,184.0,11800.0
Opel,Mokka,Benzin,Schaltgetriebe,02/2015,59313,140.0,11850.0
Renault,Captur,Diesel,Schaltgetriebe,05/2018,52665,90.0,11870.0
Hyundai,Tucson,Diesel,Schaltgetriebe,12/2015,61640,116.0,11880.0
Hyundai,iX35,Benzin,Schaltgetriebe,09/2015,57500,135.0,11890.0
Opel,Mokka X,Benzin,Schaltgetriebe,07/2018,60000,120.0,11899.0
Renault,Captur,Benzin,Automatik,11/2016,53400,114.0,11900.0
Suzuki,Grand Vitara,Diesel,Schaltgetriebe,01/2014,125000,129.0,11900.0
Kia,Stonic,Benzin,Schaltgetriebe,12/2017,45157,84.0,11900.0
Ford,EcoSport,Benzin,Schaltgetriebe,04/2016,43275,125.0,11900.0
Nissan,X-Trail,Diesel,Schaltgetriebe,02/2016,87024,131.0,11940.0
Opel,Crossland X,Benzin,Schaltgetriebe,10/2018,38500,83.0,11944.0
Jeep,Renegade,Benzin,Schaltgetriebe,11/2014,86033,140.0,11950.0
Opel,Crossland X,Benzin,Schaltgetriebe,10/2018,43900,83.0,11977.0
BMW,X1,Diesel,Automatik,10/2014,107560,143.0,11980.0
Kia,Sportage,Benzin,Schaltgetriebe,04/2014,95138,163.0,11980.0
Citroen,C4 Aircross,Diesel,Schaltgetriebe,05/2017,58200,114.0,11985.0
BMW,X3,Diesel,Schaltgetriebe,08/2010,118000,143.0,11990.0
Nissan,Qashqai,Diesel,Schaltgetriebe,04/2016,113000,110.0,11990.0
Hyundai,iX35,Benzin,Schaltgetriebe,05/2014,65850,135.0,11990.0
Skoda,Yeti,Benzin,Schaltgetriebe,12/2014,63805,122.0,11990.0
Skoda,Yeti,Diesel,Automatik,10/2011,80994,140.0,11990.0
Renault,Captur,Diesel,Schaltgetriebe,06/2018,60813,90.0,11990.0
Ford,EcoSport,Benzin,Schaltgetriebe,06/2017,25066,125.0,11990.0
BMW,X3,Benzin,Schaltgetriebe,06/2008,142700,272.0,11990.0
